Species,Class,Category,Habitat,PopTrend,Rep_AOO_km2,Rep_EOO_km2,Elev_lower,Elev_upper,ForestDependency,Unprotected_nPixels,PA_nPixels,IL_nPixels,PIA_nPixels,total_nPixels,fracPA,fracIL,fracPIA,fracUnPro,ThreatScore,Threat,fracIPL,percentHabitat_IPL
Choerophryne rostellifer,AMPHIBIA,LC,Forest important,Stable,NA,21283,-90,1420,NA,7322,1470,0,0,8792,0.167197452,0,0,0.832802548,2,Not Threatened,0,0
Choerophryne sanguinopicta,AMPHIBIA,CR,Forest important,Decreasing,NA,26,1100,1840,NA,25,0,0,0,25,0,0,0,1,32,Threatened,0,0
Choerophryne siegfriedi,AMPHIBIA,CR,Forest important,Decreasing,NA,10,2100,2800,NA,25,0,0,0,25,0,0,0,1,32,Threatened,0,0
Choerophryne swanhildae,AMPHIBIA,LC,Forest important,Stable,NA,1677,1620,2800,NA,82,0,0,0,82,0,0,0,1,2,Not Threatened,0,0
Choerophryne tubercula,AMPHIBIA,DD,Forest important,Unknown,NA,NA,1325,1925,NA,14,0,0,0,14,0,0,0,1,11,Data Deficient,0,0
Churamiti maridadi,AMPHIBIA,CR,Forest important,Decreasing,NA,95,1500,2150,NA,19,60,0,0,79,0.759493671,0,0,0.240506329,32,Threatened,0,0
Cophixalus aenigma,AMPHIBIA,VU,Forest unimportant,Stable,NA,NA,NA,NA,NA,10,214,20,250,494,0.433198381,0.04048583,0.506072874,0.020242915,8,Threatened,0.546558704,60
Cophixalus ateles,AMPHIBIA,LC,Forest important,Stable,NA,482,300,2170,NA,624,0,0,0,624,0,0,0,1,2,Not Threatened,0,0
Cophixalus balbus,AMPHIBIA,LC,Forest important,Decreasing,NA,NA,-90,1500,NA,24167,1369,4915,1063,31514,0.04344101,0.155962429,0.03373104,0.76686552,2,Not Threatened,0.18969347,20
Cophixalus monosyllabus,AMPHIBIA,DD,Forest important,Unknown,NA,NA,-50,1000,NA,1,39,199,156,395,0.098734177,0.503797468,0.394936709,0.002531646,3,Data Deficient,0.898734177,99
Cophixalus montanus,AMPHIBIA,DD,Forest unimportant,Unknown,NA,NA,NA,NA,NA,33,0,102,0,135,0,0.755555556,0,0.244444444,8,Data Deficient,0.755555556,80
Cophixalus biroi,AMPHIBIA,LC,Forest important,Stable,NA,99806,400,1900,NA,8056,106,268,0,8430,0.01257414,0.031791222,0,0.955634638,2,Not Threatened,0.031791222,20
Cophixalus monticola,AMPHIBIA,EN,Forest unimportant,Unknown,NA,NA,NA,NA,NA,1,50,0,1,52,0.961538462,0,0.019230769,0.019230769,16,Threatened,0.019230769,20
Cophixalus bombiens,AMPHIBIA,NT,Forest unimportant,Stable,NA,NA,NA,NA,NA,24,8,53,618,703,0.011379801,0.075391181,0.879089616,0.034139403,4,Not Threatened,0.954480797,99
Cophixalus neglectus,AMPHIBIA,EN,Forest unimportant,Decreasing,NA,NA,NA,NA,NA,83,160,6,504,753,0.2124834,0.007968127,0.669322709,0.110225764,16,Threatened,0.677290837,80
Cophixalus ornatus,AMPHIBIA,LC,Forest unimportant,Stable,NA,NA,NA,NA,NA,6482,3448,1940,6640,18510,0.186277688,0.104808212,0.358725014,0.350189087,2,Not Threatened,0.463533225,60
Cophyla puellarum,AMPHIBIA,CR,Forest important,Decreasing,NA,30,946,1606,NA,0,49,0,0,49,1,0,0,0,32,Threatened,0,0
Cophixalus parkeri,AMPHIBIA,LC,Forest important,Stable,NA,20713,1900,2950,NA,4794,10,0,0,4804,0.002081599,0,0,0.997918401,2,Not Threatened,0,0
Cophyla rava,AMPHIBIA,EN,Forest important,Decreasing,NA,780,1026,1626,NA,0,224,0,0,224,1,0,0,0,16,Threatened,0,0
Cophixalus phaeobalius,AMPHIBIA,LC,Forest important,Unknown,NA,10,1100,1820,NA,3,10,0,0,13,0.769230769,0,0,0.230769231,2,Not Threatened,0,0
Cophyla tetra,AMPHIBIA,EN,Forest important,Decreasing,NA,4759,-287,1550,NA,5839,887,0,0,6726,0.131876301,0,0,0.868123699,16,Threatened,0,0
Cophixalus pictus,AMPHIBIA,DD,Forest important,Unknown,NA,NA,NA,NA,NA,13,0,0,0,13,0,0,0,1,3,Data Deficient,0,0
Cophyla tuberifera,AMPHIBIA,LC,Forest important,Unknown,NA,NA,100,1500,NA,42532,9035,0,0,51567,0.175208951,0,0,0.824791049,2,Not Threatened,0,0
Cophixalus pipilans,AMPHIBIA,LC,Forest important,Stable,NA,16986,-250,1150,NA,6866,0,0,0,6866,0,0,0,1,2,Not Threatened,0,0
Copiula alpestris,AMPHIBIA,LC,Forest important,Stable,NA,9372,1500,3100,NA,8252,1,0,0,8253,1.21E-04,0,0,0.999878832,2,Not Threatened,0,0
Copiula annanoreenae,AMPHIBIA,LC,Forest important,Stable,NA,NA,1300,1900,NA,10,0,0,0,10,0,0,0,1,2,Not Threatened,0,0
Cophixalus pulchellus,AMPHIBIA,DD,Forest important,Unknown,NA,NA,700,1300,NA,0,13,0,0,13,1,0,0,0,3,Data Deficient,0,0
Copiula exspectata,AMPHIBIA,DD,Forest important,Unknown,NA,NA,320,980,NA,0,8,0,0,8,1,0,0,0,3,Data Deficient,0,0
Cophixalus rajampatensis,AMPHIBIA,DD,Forest unimportant,Unknown,NA,NA,NA,NA,NA,535,442,1053,2082,4112,0.107490272,0.256079767,0.506322957,0.130107004,11,Data Deficient,0.762402724,80
Copiula fistulans,AMPHIBIA,LC,Forest unimportant,Stable,NA,68409,-300,1150,NA,14328,213,0,0,14541,0.014648236,0,0,0.985351764,2,Not Threatened,0,0
Cophixalus riparius,AMPHIBIA,LC,Forest important,Stable,NA,5000,1600,3100,NA,2656,5,0,0,2661,0.001878993,0,0,0.998121007,2,Not Threatened,0,0
Copiula guttata,AMPHIBIA,LC,Forest important,Stable,NA,24105,-300,900,NA,16528,1612,0,0,18140,0.088864388,0,0,0.911135612,2,Not Threatened,0,0
Cophixalus salawatiensis,AMPHIBIA,DD,Forest unimportant,Unknown,NA,NA,NA,NA,NA,430,88,741,632,1891,0.046536224,0.391856161,0.334214701,0.227392914,11,Data Deficient,0.726070862,80
Copiula lennarti,AMPHIBIA,LC,Forest important,Stable,NA,3275,100,815,NA,1803,0,0,0,1803,0,0,0,1,2,Not Threatened,0,0
Cophixalus tagulensis,AMPHIBIA,DD,Forest important,Unknown,NA,NA,-50,650,NA,55,0,0,0,55,0,0,0,1,3,Data Deficient,0,0
Copiula major,AMPHIBIA,DD,Forest important,Unknown,NA,NA,100,1100,NA,0,0,0,28,28,0,0,1,0,3,Data Deficient,1,100
Cophixalus tetzlaffi,AMPHIBIA,DD,Forest important,Unknown,NA,NA,100,1200,NA,0,0,8,0,8,0,1,0,0,3,Data Deficient,1,100
Copiula minor,AMPHIBIA,LC,Forest important,Unknown,NA,140,1300,1900,NA,0,76,0,0,76,1,0,0,0,2,Not Threatened,0,0
Copiula obsti,AMPHIBIA,DD,Forest important,Unknown,NA,NA,100,1100,NA,0,0,0,28,28,0,0,1,0,3,Data Deficient,1,100
Copiula pipiens,AMPHIBIA,LC,Forest important,Unknown,NA,98887,320,980,NA,12325,238,5492,424,18479,0.012879485,0.29720223,0.022944965,0.666973321,2,Not Threatened,0.320147194,40
Copiula tyleri,AMPHIBIA,LC,Forest important,Stable,NA,66071,370,1620,NA,9472,507,15,0,9994,0.050730438,0.001500901,0,0.947768661,2,Not Threatened,0.001500901,20
Cornufer mamusiorum,AMPHIBIA,LC,Forest important,Stable,NA,140,1200,2000,NA,22,0,0,0,22,0,0,0,1,2,Not Threatened,0,0
Cornufer minutus,AMPHIBIA,VU,Forest important,Unknown,NA,17377,-300,1300,NA,10927,0,0,0,10927,0,0,0,1,8,Threatened,0,0
Cornufer montanus,AMPHIBIA,LC,Forest important,Stable,NA,4301,600,1500,NA,1498,0,0,0,1498,0,0,0,1,2,Not Threatened,0,0
Cornufer myersi,AMPHIBIA,LC,Forest important,Unknown,NA,4301.12,400,1800,NA,2122,0,0,0,2122,0,0,0,1,2,Not Threatened,0,0
Cornufer nakanaiorum,AMPHIBIA,LC,Forest important,Unknown,NA,3459,900,2000,NA,1716,0,0,0,1716,0,0,0,1,2,Not Threatened,0,0
Cornufer neckeri,AMPHIBIA,LC,Forest important,Unknown,NA,59526,-300,1457,NA,17470,0,0,37,17507,0,0,0.00211344,0.99788656,2,Not Threatened,0.00211344,20
Cornufer nexipus,AMPHIBIA,VU,Forest important,Decreasing,NA,16738,-200,1500,NA,27181,153,0,0,27334,0.005597424,0,0,0.994402576,8,Threatened,0,0
Cornufer opisthodon,AMPHIBIA,LC,Forest important,Unknown,NA,NA,NA,NA,NA,11295,0,0,0,11295,0,0,0,1,2,Not Threatened,0,0
Cornufer parilis,AMPHIBIA,EN,Forest important,Decreasing,NA,4952,-300,1100,NA,4264,0,0,37,4301,0,0,0.008602651,0.991397349,16,Threatened,0.008602651,20
Dendrobates nubeculosus,AMPHIBIA,DD,Forest unimportant,Unknown,NA,NA,-293,307,NA,21,0,0,0,21,0,0,0,1,3,Data Deficient,0,0
Cornufer sulcatus,AMPHIBIA,DD,Forest important,Unknown,NA,NA,220,1890,NA,55,0,0,0,55,0,0,0,1,11,Data Deficient,0,0
Dendrophryniscus berthalutzae,AMPHIBIA,LC,Forest unimportant,Decreasing,NA,NA,NA,NA,NA,19789,2613,0,0,22402,0.116641371,0,0,0.883358629,2,Not Threatened,0,0
Craugastor xucanebi,AMPHIBIA,VU,Forest important,Unknown,NA,18631,300,1600,NA,829,106,5858,178,6971,0.015205853,0.840338545,0.025534357,0.118921245,8,Threatened,0.865872902,99
Ecnomiohyla fimbrimembra,AMPHIBIA,VU,Forest important,Unknown,NA,11229,450,2200,NA,890,1650,0,6,2546,0.648075412,0,0.002356638,0.34956795,8,Threatened,0.002356638,20
Dendrophryniscus brevipollicatus,AMPHIBIA,LC,Forest important,Stable,NA,NA,NA,1200,NA,11926,8387,3,44,20360,0.411935167,1.47E-04,0.0021611,0.585756385,2,Not Threatened,0.002308448,20
Craugastor zunigai,AMPHIBIA,LC,Forest important,Stable,NA,209,1200,2400,NA,19,222,0,2,243,0.913580247,0,0.008230453,0.0781893,2,Not Threatened,0.008230453,20
Ecnomiohyla miliaria,AMPHIBIA,LC,Forest important,Decreasing,NA,364323,-280,1630,NA,2883,3444,3033,5158,14518,0.237222758,0.208913073,0.355283097,0.198581072,2,Not Threatened,0.56419617,60
Dendrophryniscus carvalhoi,AMPHIBIA,EN,Forest unimportant,Decreasing,NA,NA,NA,NA,NA,704,15,0,0,719,0.020862309,0,0,0.979137691,16,Threatened,0,0
Crossodactylodes bokermanni,AMPHIBIA,NT,Forest unimportant,Decreasing,NA,NA,NA,NA,NA,2114,13,0,0,2127,0.006111895,0,0,0.993888105,4,Not Threatened,0,0
Ecnomiohyla minera,AMPHIBIA,VU,Forest important,Decreasing,NA,17323,330,2130,NA,13,18,41,12,84,0.214285714,0.488095238,0.142857143,0.154761905,8,Threatened,0.630952381,80
Dendrophryniscus krausae,AMPHIBIA,DD,Forest important,Unknown,NA,NA,500,1170,NA,3,4,0,0,7,0.571428571,0,0,0.428571429,3,Data Deficient,0,0
Ecnomiohyla phantasmagoria,AMPHIBIA,DD,Forest unimportant,Unknown,NA,NA,NA,NA,NA,596,96,0,0,692,0.138728324,0,0,0.861271676,11,Data Deficient,0,0
Crossodactylodes izecksohni,AMPHIBIA,NT,Forest unimportant,Stable,NA,NA,NA,NA,NA,53,0,0,0,53,0,0,0,1,4,Not Threatened,0,0
Dendrophryniscus stawiarskyi,AMPHIBIA,DD,Forest unimportant,Unknown,NA,NA,NA,NA,NA,96,0,0,0,96,0,0,0,1,3,Data Deficient,0,0
Cryptotriton alvarezdeltoroi,AMPHIBIA,EN,Forest important,Decreasing,NA,309,900,1850,NA,47,0,51,0,98,0,0.520408163,0,0.479591837,16,Threatened,0.520408163,60
Ecnomiohyla salvaje,AMPHIBIA,EN,Forest important,Decreasing,NA,847,950,1750,NA,1,92,4,10,107,0.859813084,0.037383178,0.093457944,0.009345794,16,Threatened,0.130841121,20
Dendrotriton bromeliacius,AMPHIBIA,CR,Forest important,Decreasing,NA,73,1400,3150,NA,0,0,49,55,104,0,0.471153846,0.528846154,0,32,Threatened,1,100
Ecnomiohyla sukia,AMPHIBIA,LC,Forest important,Stable,NA,3989,100,1600,NA,1102,1309,234,193,2838,0.46124031,0.082452431,0.068005638,0.388301621,2,Not Threatened,0.150458069,20
Cryptotriton monzoni,AMPHIBIA,CR,Forest important,Decreasing,NA,68,922,1870,NA,18,1,5,13,37,0.027027027,0.135135135,0.351351351,0.486486486,32,Threatened,0.486486486,60
Dendrotriton chujorum,AMPHIBIA,CR,Forest important,Unknown,NA,17,2329,3099,NA,0,0,14,0,14,0,1,0,0,32,Threatened,1,100
Ecnomiohyla veraguensis,AMPHIBIA,VU,Forest important,Decreasing,NA,12000,-70,840,NA,334,79,349,561,1323,0.059712774,0.263794407,0.424036281,0.252456538,8,Threatened,0.687830688,80
Dendrotriton cuchumatanus,AMPHIBIA,CR,Forest important,Decreasing,NA,11,2560,3160,NA,0,0,14,1,15,0,0.933333333,0.066666667,0,32,Threatened,1,99
Eleutherodactylus acmonis,AMPHIBIA,EN,Forest unimportant,Decreasing,NA,NA,NA,NA,NA,2818,2085,0,0,4903,0.425249847,0,0,0.574750153,16,Threatened,0,0
Dendrotriton kekchiorum,AMPHIBIA,CR,Forest important,Decreasing,NA,58,1800,2990,NA,0,0,31,0,31,0,1,0,0,32,Threatened,1,100
Eleutherodactylus adelus,AMPHIBIA,EN,Forest unimportant,Decreasing,NA,NA,NA,NA,NA,59,0,0,0,59,0,0,0,1,16,Threatened,0,0
Dendrotriton megarhinus,AMPHIBIA,VU,Forest important,Unknown,4,4,1700,2700,NA,0,11,0,0,11,1,0,0,0,8,Threatened,0,0
Dendrotriton rabbi,AMPHIBIA,CR,Forest important,Decreasing,NA,31,1800,3300,NA,0,0,49,0,49,0,1,0,0,32,Threatened,1,100
Eleutherodactylus albipes,AMPHIBIA,CR,Forest unimportant,Decreasing,NA,NA,NA,NA,NA,23,42,0,0,65,0.646153846,0,0,0.353846154,32,Threatened,0,0
Dendrotriton sanctibarbarus,AMPHIBIA,CR,Forest important,Decreasing,NA,62.33,1529,3044,NA,0,91,0,0,91,1,0,0,0,32,Threatened,0,0
Eleutherodactylus alticola,AMPHIBIA,CR,Forest important,Decreasing,NA,60.98,1250,2550,NA,4,62,0,0,66,0.939393939,0,0,0.060606061,32,Threatened,0,0
Dendrotriton xolocalcae,AMPHIBIA,VU,Forest important,Stable,NA,130,1700,2500,NA,1,40,0,0,41,0.975609756,0,0,0.024390244,8,Threatened,0,0
Eleutherodactylus amadeus,AMPHIBIA,CR,Forest unimportant,Decreasing,NA,NA,NA,NA,NA,355,165,0,0,520,0.317307692,0,0,0.682692308,32,Threatened,0,0
Dermophis costaricense,AMPHIBIA,DD,Forest important,Unknown,NA,NA,700,1600,NA,1598,1173,169,88,3028,0.387384412,0.055812417,0.029062087,0.527741083,3,Data Deficient,0.084874505,20
Eleutherodactylus amplinympha,AMPHIBIA,EN,Forest important,Decreasing,NA,324.89,0,1500,NA,89,94,1,0,184,0.510869565,0.005434783,0,0.483695652,16,Threatened,0.005434783,20
Eleutherodactylus andrewsi,AMPHIBIA,EN,Forest important,Decreasing,NA,221.4,100,2270,NA,72,230,0,0,302,0.761589404,0,0,0.238410596,16,Threatened,0,0
Eleutherodactylus angustidigitorum,AMPHIBIA,LC,Forest important,Stable,NA,NA,1600,2900,NA,10699,487,1163,45,12394,0.039293206,0.093835727,0.003630789,0.863240278,2,Not Threatened,0.097466516,20
Eleutherodactylus fowleri,AMPHIBIA,CR,Forest unimportant,Decreasing,NA,NA,NA,NA,NA,73,96,0,0,169,0.568047337,0,0,0.431952663,32,Threatened,0,0
Eleutherodactylus furcyensis,AMPHIBIA,CR,Forest important,Unknown,NA,NA,503,2400,NA,347,306,0,0,653,0.468606432,0,0,0.531393568,32,Threatened,0,0
Eleutherodactylus glamyrus,AMPHIBIA,EN,Forest unimportant,Decreasing,NA,NA,NA,NA,NA,42,192,0,0,234,0.820512821,0,0,0.179487179,16,Threatened,0,0
Eleutherodactylus glanduliferoides,AMPHIBIA,CR,Forest important,Decreasing,NA,NA,1215,2421,NA,11,0,0,0,11,0,0,0,1,32,Threatened,0,0
Eleutherodactylus glaucoreius,AMPHIBIA,EN,Forest important,Decreasing,NA,2159.03,-300,1950,NA,1001,614,0,0,1615,0.380185759,0,0,0.619814241,16,Threatened,0,0
Eleutherodactylus grabhami,AMPHIBIA,EN,Forest important,Decreasing,NA,4444.1,-150,970,NA,2145,528,0,0,2673,0.197530864,0,0,0.802469136,16,Threatened,0,0
Eleutherodactylus griphus,AMPHIBIA,EN,Forest important,Decreasing,NA,314.8,-50,940,NA,170,257,0,0,427,0.601873536,0,0,0.398126464,16,Threatened,0,0
Eleutherodactylus gryllus,AMPHIBIA,CR,Forest important,Decreasing,NA,98.8,354,1349,NA,6,31,0,0,37,0.837837838,0,0,0.162162162,32,Threatened,0,0
Eleutherodactylus guantanamera,AMPHIBIA,VU,Forest unimportant,Decreasing,NA,NA,NA,NA,NA,4699,2797,0,0,7496,0.373132337,0,0,0.626867663,8,Threatened,0,0
Eleutherodactylus gundlachi,AMPHIBIA,EN,Forest important,Stable,NA,NA,350,1675,NA,1033,1278,0,0,2311,0.553007356,0,0,0.446992644,16,Threatened,0,0
Eleutherodactylus haitianus,AMPHIBIA,EN,Forest unimportant,Decreasing,NA,NA,NA,NA,NA,740,1457,0,0,2197,0.66317706,0,0,0.33682294,16,Threatened,0,0
Eleutherodactylus hedricki,AMPHIBIA,EN,Forest important,Decreasing,NA,428.5,155,1452,NA,17,32,0,0,49,0.653061224,0,0,0.346938776,16,Threatened,0,0
Eleutherodactylus heminota,AMPHIBIA,EN,Forest unimportant,Decreasing,NA,NA,NA,NA,NA,7563,1781,0,0,9344,0.190603596,0,0,0.809396404,16,Threatened,0,0
Eleutherodactylus iberia,AMPHIBIA,CR,Forest unimportant,Decreasing,NA,NA,NA,NA,NA,0,129,0,0,129,1,0,0,0,32,Threatened,0,0
Eleutherodactylus intermedius,AMPHIBIA,EN,Forest important,Unknown,NA,NA,154,2180,NA,1701,861,0,0,2562,0.336065574,0,0,0.663934426,16,Threatened,0,0
Eleutherodactylus montanus,AMPHIBIA,EN,Forest unimportant,Decreasing,NA,NA,NA,NA,NA,989,2091,0,0,3080,0.678896104,0,0,0.321103896,16,Threatened,0,0
Eleutherodactylus nietoi,AMPHIBIA,EN,Forest important,Unknown,NA,1196,830,1830,NA,993,21,28,0,1042,0.020153551,0.026871401,0,0.952975048,16,Threatened,0.026871401,20
Eleutherodactylus notidodes,AMPHIBIA,EN,Forest important,Decreasing,NA,901,1040,2130,NA,135,66,0,0,201,0.328358209,0,0,0.671641791,16,Threatened,0,0
Eleutherodactylus nubicola,AMPHIBIA,EN,Forest important,Decreasing,NA,242.3,760,2180,NA,43,159,0,0,202,0.787128713,0,0,0.212871287,16,Threatened,0,0
Eleutherodactylus orientalis,AMPHIBIA,CR,Forest unimportant,Decreasing,NA,NA,NA,NA,NA,0,35,0,0,35,1,0,0,0,32,Threatened,0,0
Eleutherodactylus oxyrhyncus,AMPHIBIA,CR,Forest important,Unknown,NA,NA,33,1512,NA,742,69,0,0,811,0.085080148,0,0,0.914919852,32,Threatened,0,0
Eleutherodactylus parabates,AMPHIBIA,CR,Forest important,Unknown,NA,NA,1155,2170,NA,14,0,0,0,14,0,0,0,1,32,Threatened,0,0
Eleutherodactylus parapelates,AMPHIBIA,CR,Forest important,Unknown,NA,NA,650,1350,NA,238,19,0,0,257,0.073929961,0,0,0.926070039,32,Threatened,0,0
Eleutherodactylus patriciae,AMPHIBIA,EN,Forest unimportant,Decreasing,NA,NA,NA,NA,NA,189,1954,0,0,2143,0.91180588,0,0,0.08819412,16,Threatened,0,0
Eleutherodactylus pentasyringos,AMPHIBIA,EN,Forest important,Decreasing,NA,869.6,-300,1575,NA,341,391,0,0,732,0.534153005,0,0,0.465846995,16,Threatened,0,0
Eleutherodactylus pictissimus,AMPHIBIA,VU,Forest unimportant,Decreasing,NA,NA,NA,NA,NA,16189,5388,0,0,21577,0.24971034,0,0,0.75028966,8,Threatened,0,0
Eleutherodactylus pinchoni,AMPHIBIA,EN,Forest important,Decreasing,NA,489.1,-120,1767,NA,0,604,0,0,604,1,0,0,0,16,Threatened,0,0
Eleutherodactylus pituinus,AMPHIBIA,EN,Forest unimportant,Decreasing,NA,NA,NA,NA,NA,1012,2302,0,0,3314,0.694628847,0,0,0.305371153,16,Threatened,0,0
Eleutherodactylus poolei,AMPHIBIA,CR,Forest important,Unknown,NA,NA,250,950,NA,22,0,0,0,22,0,0,0,1,32,Threatened,0,0
Eleutherodactylus portoricensis,AMPHIBIA,EN,Forest important,Decreasing,NA,625.31,208,1482,NA,134,34,0,0,168,0.202380952,0,0,0.797619048,16,Threatened,0,0
Eleutherodactylus principalis,AMPHIBIA,EN,Forest unimportant,Decreasing,NA,NA,NA,NA,NA,29,686,0,0,715,0.959440559,0,0,0.040559441,16,Threatened,0,0
Eleutherodactylus ventrilineatus,AMPHIBIA,CR,Forest important,Unknown,NA,NA,1400,2640,NA,0,19,0,0,19,1,0,0,0,32,Threatened,0,0
Eleutherodactylus warreni,AMPHIBIA,CR,Forest important,Unknown,NA,NA,100,700,NA,92,0,0,0,92,0,0,0,1,32,Threatened,0,0
Eleutherodactylus wightmanae,AMPHIBIA,EN,Forest important,Decreasing,NA,3749.7,-150,1489,NA,1873,154,0,0,2027,0.075974346,0,0,0.924025654,16,Threatened,0,0
Eleutherodactylus wixarika,AMPHIBIA,EN,Forest important,Decreasing,NA,182,2100,2800,NA,0,0,0,77,77,0,0,1,0,16,Threatened,1,100
Gastrotheca walkeri,AMPHIBIA,VU,Forest important,Unknown,NA,5880,350,1500,NA,608,1555,0,0,2163,0.718908923,0,0,0.281091077,8,Threatened,0,0
Eleutherodactylus zugi,AMPHIBIA,EN,Forest unimportant,Decreasing,NA,NA,NA,NA,NA,3410,433,0,0,3843,0.112672391,0,0,0.887327609,16,Threatened,0,0
Gracixalus tianlinensis,AMPHIBIA,DD,Forest important,Unknown,NA,NA,1558,2158,NA,0,0,9,0,9,0,1,0,0,11,Data Deficient,1,100
Gastrotheca weinlandii,AMPHIBIA,LC,Forest important,Decreasing,NA,112493,800,2670,NA,11477,4956,5830,612,22875,0.216655738,0.254863388,0.026754098,0.501726776,2,Not Threatened,0.281617486,40
Euparkerella cochranae,AMPHIBIA,LC,Forest unimportant,Decreasing,NA,NA,NA,NA,NA,5287,1952,0,0,7239,0.269650504,0,0,0.730349496,2,Not Threatened,0,0
Guibemantis albolineatus,AMPHIBIA,LC,Forest important,Decreasing,NA,170306.8,0,1800,NA,4155,2391,0,0,6546,0.365261228,0,0,0.634738772,2,Not Threatened,0,0
Gastrotheca williamsoni,AMPHIBIA,DD,Forest important,Unknown,NA,NA,-200,600,NA,3,26,0,0,29,0.896551724,0,0,0.103448276,24,Data Deficient,0,0
Euparkerella robusta,AMPHIBIA,VU,Forest unimportant,Decreasing,NA,NA,NA,NA,NA,82,37,0,0,119,0.31092437,0,0,0.68907563,8,Threatened,0,0
Guibemantis annulatus,AMPHIBIA,EN,Forest important,Decreasing,NA,423.64,-300,310,NA,100,6,0,0,106,0.056603774,0,0,0.943396226,16,Threatened,0,0
Gastrotheca zeugocystis,AMPHIBIA,DD,Forest important,Decreasing,NA,NA,2620,3220,NA,1,0,11,0,12,0,0.916666667,0,0.083333333,11,Data Deficient,0.916666667,99
Euparkerella tridactyla,AMPHIBIA,VU,Forest unimportant,Stable,NA,NA,NA,NA,NA,10,0,0,0,10,0,0,0,1,8,Threatened,0,0
Guibemantis flavobrunneus,AMPHIBIA,LC,Forest important,Decreasing,NA,NA,-300,1300,NA,47299,7210,0,0,54509,0.132271735,0,0,0.867728265,2,Not Threatened,0,0
Gegeneophis nadkarnii,AMPHIBIA,DD,Forest unimportant,Unknown,NA,NA,NA,NA,NA,22,0,0,0,22,0,0,0,1,11,Data Deficient,0,0
Excidobates condor,AMPHIBIA,EN,Forest important,Stable,NA,2244,1470,2430,NA,553,138,102,4,797,0.17314931,0.127979925,0.005018821,0.693851945,16,Threatened,0.132998745,20
Guibemantis methueni,AMPHIBIA,LC,Forest important,Decreasing,NA,37060.51,-300,1280,NA,22571,1480,0,0,24051,0.061535903,0,0,0.938464097,2,Not Threatened,0,0
Gephyromantis asper,AMPHIBIA,LC,Forest unimportant,Decreasing,NA,NA,0,1500,NA,23955,5402,0,0,29357,0.184010628,0,0,0.815989372,2,Not Threatened,0,0
Excidobates mysteriosus,AMPHIBIA,EN,Forest important,Decreasing,NA,717.01,300,1605,NA,357,0,293,0,650,0,0.450769231,0,0.549230769,16,Threatened,0.450769231,60
Guibemantis pulcher,AMPHIBIA,LC,Forest unimportant,Decreasing,NA,NA,-300,1700,NA,46727,9910,0,0,56637,0.174973957,0,0,0.825026043,2,Not Threatened,0,0
Gephyromantis blanci,AMPHIBIA,NT,Forest important,Decreasing,NA,24088,500,1800,NA,6654,2768,0,0,9422,0.293780514,0,0,0.706219486,4,Not Threatened,0,0
Frostius erythrophthalmus,AMPHIBIA,DD,Forest unimportant,Unknown,NA,NA,-160,1220,NA,11769,3025,3,0,14797,0.204433331,2.03E-04,0,0.795363925,3,Data Deficient,2.03E-04,20
Guibemantis punctatus,AMPHIBIA,CR,Forest important,Decreasing,NA,65,NA,NA,NA,23,64,0,0,87,0.735632184,0,0,0.264367816,32,Threatened,0,0
Gephyromantis decaryi,AMPHIBIA,NT,Forest important,Decreasing,NA,27279,400,1350,NA,7496,2713,0,0,10209,0.26574591,0,0,0.73425409,4,Not Threatened,0,0
Frostius pernambucensis,AMPHIBIA,LC,Forest unimportant,Decreasing,NA,NA,NA,1100,NA,17586,1660,37,20,19303,0.085996995,0.0019168,0.001036108,0.911050096,2,Not Threatened,0.002952909,20
Guibemantis wattersoni,AMPHIBIA,EN,Forest important,Decreasing,NA,2955.41,-278,1140,NA,1468,494,0,0,1962,0.251783894,0,0,0.748216106,16,Threatened,0,0
Gephyromantis eiselti,AMPHIBIA,EN,Forest important,Decreasing,NA,795,500,1500,NA,326,250,0,0,576,0.434027778,0,0,0.565972222,16,Threatened,0,0
Gymnopis syntrema,AMPHIBIA,NT,Forest important,Unknown,NA,26569,0,1300,NA,186,1263,1790,366,3605,0.350346741,0.496532594,0.101525659,0.051595007,4,Not Threatened,0.598058252,60
Gastrotheca albolineata,AMPHIBIA,LC,Forest unimportant,Decreasing,NA,NA,NA,NA,NA,34866,3993,0,0,38859,0.102756118,0,0,0.897243882,2,Not Threatened,0,0
Gephyromantis enki,AMPHIBIA,VU,Forest important,Decreasing,NA,8856,350,1700,NA,4456,705,0,0,5161,0.136601434,0,0,0.863398566,8,Threatened,0,0
Haddadus binotatus,AMPHIBIA,LC,Forest important,Stable,NA,NA,NA,1500,NA,195810,61029,968,1736,259543,0.235140227,0.003729632,0.00668868,0.754441461,2,Not Threatened,0.010418312,20
Gephyromantis horridus,AMPHIBIA,VU,Forest important,Decreasing,NA,10661,0,1700,NA,331,699,0,0,1030,0.678640777,0,0,0.321359223,8,Threatened,0,0
Gastrotheca antoniiochoai,AMPHIBIA,DD,Forest important,Unknown,NA,24.07,2500,3600,NA,18,17,0,0,35,0.485714286,0,0,0.514285714,24,Data Deficient,0,0
